N°,Tipo de Imagem de treino,Presença de Artefato,Tamanho da Imagem,Tipo de Redimensionamento,Treinamento,Teste,Máscara,Espaço da Espiral,Modo da Espiral,Intervalo inicial da máscara Treino,Intervalo da máscara Treino,Intervalo inicial da máscara Teste,Intervalo da máscara Teste,Batch Size,N° Steps ,Buffer Size,Número de imagens para calcular métricas,SSIM input(%),SNR input,SSIM predicted(%),SNR predicted,SSIM In SD,SNR In SD,SSIM Pr SD,SNR Pr SD,Observações,Erro,SSIM Real,SSIM Imaginária,SNR Real,SNR Imaginária,RSSIM,Teste,Ordem Teste,RSNR,Relação
27,Conjunto de Teste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,"0,55","12,86","0,73","22,90",,,,,Teste Realizado no código sem alteração,,,,,,"1,321",0,,"1,780","0,966"
28,Conjunto de Teste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,"0,55","13,20","0,68","18,42",,,,,Teste Realizado no código com alteração,,,,,,"1,237",0,,"1,395","0,838"
29,Imagem Final,Não,512x512,Completar com zero,800,173,Espiral no espaço-k full,1,2,-,-,-,-,1,1000,400,21,"0,58","2,40","0,57","4,70",,,,,,,,,,,"0,983",1,7,"1,955","0,559"
30,Imagem Final,Não,512x512,Completar com zero,200,50,HF Vertical,-,-,5,2,5,2,1,1000,800,21,"0,72","5,51","0,66","4,71",,,,,,,,,,,"0,909",1,4,"0,855","0,597"
31,Imagem Final,Não,512x512,Completar com zero,200,50,Random,-,-,-,70,70,-,-,1000,800,21,"0,63","5,00","0,55","2,60",,,,,,,,,,,"0,881",1,8,"0,520","0,488"
32,Imagem Final,Não,512x512,Completar com zero,800,173,Random,-,-,-,70,70,-,-,1000,800,21,"0,62","5,12","0,59","6,76",,,,,,,,,,,"0,955",1,9,"1,320","0,562"
33,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,16,16,-,1,1000,400,21,"0,33","3,99","0,56","5,20",,,,,Primeiro teste que acontece um sucesso,,,,,,"1,687",,,"1,301","0,940"
34,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral1,-,-,-,150,150,-,1,1000,400,21,"0,32","4,81","0,52","5,07",,,,,,,,,,,"1,604",,,"1,053","0,832"
35,Imagem Final,Não,512x512,Completar com zero,100,50,Radial,-,-,-,40,40,-,1,1000,400,21,"0,63","5,27","0,60","5,17",,,,,,,,,,,"0,949",,,"0,981","0,569"
36,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,20,20,-,1,1000,400,21,"0,35","3,80","0,58","5,72",,,,,,,,,,,"1,635",,,"1,504","0,948"
